term,pleasure,arousal,dominance,Value
rollercoaster,90.929705,91.38322,57.823129,
thrill,91.269841,90.929705,74.14966,
win,95.011338,87.528345,83.786848,
excitement,85.034014,86.961451,70.068027,
miracle,97.505669,86.734694,60.657596,
romantic,94.331066,86.054422,68.93424,
surprised,84.693878,84.693878,69.274376,
cash,94.897959,83.560091,78.911565,
desire,87.188209,83.333333,73.582766,
graduate,92.857143,82.199546,78.684807,
fun,94.897959,81.85941,77.097506,
joy,97.505669,81.85941,71.201814,
skijump,80.045351,80.045351,55.555556,
adventure,86.1678,79.138322,73.24263,
startled,51.020408,78.571429,50.793651,
alert,70.294785,77.664399,67.573696,
exercise,80.839002,77.55102,64.399093,
triumphant,100,76.870748,78.798186,
engaged,90.702948,76.75737,73.582766,
treasure,93.764172,76.530612,72.108844,
laughter,95.804989,76.530612,73.129252,
joke,91.836735,76.417234,69.727891,
party,89.115646,75.85034,66.099773,
profit,86.507937,75.736961,66.326531,
birthday,88.888889,75.736961,66.780045,
power,74.14966,75.623583,82.539683,
fireworks,85.600907,75.623583,62.471655,
victory,94.331066,75.170068,82.312925,
lightning,51.814059,74.943311,41.609977,
holiday,85.600907,74.716553,71.428571,
festive,82.76644,74.603175,65.419501,
quick,75.283447,74.489796,74.489796,
fame,89.909297,74.263039,77.664399,
rescue,87.301587,74.036281,73.129252,
lucky,92.630385,74.036281,68.594104,
happy,93.0839,73.582766,75.170068,
promotion,92.970522,73.015873,76.984127,
love,98.866213,73.015873,80.612245,
noisy,56.9161,72.335601,55.895692,
loved,97.959184,72.335601,75.056689,
reunion,73.469388,71.882086,63.945578,
heart,83.786848,71.882086,62.244898,
volcano,54.875283,71.768707,36.848073,
dazzle,82.653061,71.768707,63.718821,
talent,85.714286,71.088435,73.582766,
leader,86.507937,71.088435,89.342404,
christmas,88.435374,71.088435,60.884354,
cliff,52.947846,70.861678,49.319728,
car,87.641723,70.748299,79.138322,
outstanding,87.868481,70.748299,72.562358,
terrific,92.517007,70.634921,74.829932,
confident,90.47619,70.521542,87.07483,
travel,80.498866,70.408163,71.54195,
elated,84.46712,70.408163,62.698413,
affection,95.124717,70.408163,68.93424,
lion,63.151927,70.294785,46.712018,
beautiful,86.1678,69.954649,71.315193,
riches,87.301587,69.954649,76.417234,
brave,81.06576,69.727891,81.85941,
plane,72.902494,69.614512,54.195011,
gift,88.095238,69.614512,62.585034,
millionaire,91.043084,69.614512,79.024943,
mother,95.124717,69.501134,65.079365,
cheer,91.836735,69.387755,68.027211,
admired,87.755102,69.274376,85.37415,
success,93.99093,69.274376,78.117914,
athletics,74.943311,69.160998,69.387755,
memories,84.807256,69.160998,66.666667,
sunlight,87.981859,69.160998,63.8322,
song,80.498866,68.820862,66.326531,
dollar,84.693878,68.820862,71.768707,
pretty,87.868481,68.367347,62.358277,
inspired,81.06576,68.253968,75.623583,
life,82.426304,68.253968,64.852608,
glory,85.600907,68.253968,77.664399,
progress,87.641723,68.253968,76.643991,
dancer,80.952381,68.027211,68.253968,
champ,81.405896,68.027211,76.75737,
hospital,57.142857,67.800454,53.174603,
imagine,82.993197,67.800454,80.15873,
joyful,93.197279,67.800454,74.829932,
circus,82.76644,67.687075,61.111111,
wedding,88.662132,67.687075,75.736961,
perfection,82.199546,67.460317,76.077098,
magical,84.580499,67.460317,64.965986,
handsome,89.909297,67.460317,58.843537,
god,92.403628,67.460317,66.666667,
people,83.106576,67.346939,69.614512,
father,80.272109,67.120181,63.8322,
strong,80.612245,67.120181,78.45805,
outdoors,84.693878,67.120181,71.088435,
knowledge,85.941043,67.120181,76.870748,
food,86.734694,67.120181,70.068027,
vigorous,76.984127,66.893424,61.337868,
honor,86.848073,66.893424,75.963719,
merry,89.569161,66.893424,75.283447,
game,79.138322,66.780045,64.62585,
tease,54.875283,66.553288,52.947846,
doctor,58.956916,66.439909,55.442177,
idea,79.365079,66.439909,70.975057,
prestige,82.312925,66.439909,78.231293,
puppy,85.714286,66.326531,62.471655,
comedy,94.897959,66.326531,61.678005,
champion,95.69161,66.326531,73.696145,
powerful,77.55102,66.099773,81.519274,
star,82.426304,66.099773,53.061224,
fascinate,83.219955,66.099773,69.727891,
curious,68.93424,65.986395,61.451247,
applause,85.034014,65.759637,73.469388,
wealthy,87.301587,65.759637,76.75737,
savior,87.641723,65.759637,75.283447,
hopeful,80.498866,65.53288,61.337868,
triumph,88.435374,65.53288,79.138322,
mischief,63.151927,65.306122,63.038549,
gold,85.487528,65.306122,66.326531,
dog,85.827664,65.306122,70.861678,
snow,80.272109,65.192744,65.759637,
education,75.85034,65.079365,69.727891,
awed,75.963719,65.079365,60.090703,
friend,87.755102,65.079365,76.417234,
pleasure,93.877551,65.079365,69.727891,
famous,79.138322,64.965986,71.655329,
thoughtful,86.734694,64.852608,63.605442,
storm,56.122449,64.739229,51.473923,
skyscraper,66.666667,64.739229,49.092971,
money,86.054422,64.62585,70.861678,
incentive,79.365079,64.512472,67.23356,
eat,84.693878,64.512472,63.492063,
improve,86.734694,64.512472,68.93424,
youth,76.530612,64.285714,57.936508,
spring,87.981859,64.285714,70.975057,
diploma,90.702948,64.285714,76.643991,
interest,79.024943,64.172336,66.666667,
sugar,76.417234,63.945578,62.358277,
young,78.117914,63.945578,60.090703,
vacation,92.517007,63.945578,77.097506,
mail,78.004535,63.8322,64.285714,
treat,83.446712,63.718821,65.53288,
mighty,74.14966,63.605442,81.972789,
yacht,78.798186,63.605442,69.160998,
ambition,79.818594,63.605442,78.571429,
heaven,82.76644,63.605442,69.727891,
bold,77.097506,63.492063,75.623583,
liberty,90.47619,63.492063,71.315193,
zest,76.984127,63.378685,68.027211,
jolly,84.013605,63.151927,72.44898,
spirit,79.365079,63.038549,65.986395,
proud,91.043084,63.038549,76.417234,
voyage,70.861678,62.92517,58.730159,
child,80.272109,62.92517,57.823129,
excellence,95.011338,62.811791,82.539683,
lively,81.632653,62.698413,69.047619,
cute,86.394558,62.698413,55.102041,
achievement,89.455782,62.698413,74.376417,
diamond,89.795918,62.698413,62.811791,
beach,91.043084,62.698413,61.678005,
baby,93.197279,62.698413,56.689342,
body,62.92517,62.585034,60.544218,
penthouse,77.210884,62.585034,73.922902,
freedom,85.941043,62.585034,76.643991,
abundance,74.716553,62.471655,65.759637,1
king,82.312925,62.471655,83.673469,
ace,78.004535,62.358277,72.44898,1
alive,82.199546,62.358277,72.44898,
humor,97.052154,62.358277,68.93424,
mountain,74.716553,62.244898,61.904762,
muscular,77.324263,62.018141,74.603175,
justice,88.208617,62.018141,73.356009,
bouquet,79.591837,61.904762,69.727891,
wink,78.571429,61.678005,64.62585,
hope,79.931973,61.678005,62.585034,
delight,93.650794,61.678005,65.646259,
dinner,81.179138,61.564626,69.160998,
good,84.693878,61.564626,72.675737,
memory,75.056689,61.451247,57.936508,
wit,82.993197,61.451247,72.335601,
impressed,83.106576,61.451247,62.471655,
answer,75.170068,61.337868,66.326531,
restaurant,76.643991,61.337868,64.965986,
bright,85.034014,61.22449,71.882086,
acceptance,90.47619,61.22449,75.283447,1
swift,73.24263,61.111111,71.315193,
radiant,76.303855,61.111111,63.605442,
learn,81.06576,61.111111,71.882086,
trophy,88.208617,61.111111,73.015873,
chance,68.253968,60.997732,52.60771,
jewel,79.365079,60.997732,63.378685,
waterfall,89.342404,60.884354,58.956916,
lottery,74.489796,60.770975,54.535147,
hug,90.702948,60.657596,65.646259,
optimism,78.798186,60.544218,74.943311,
world,73.696145,60.31746,59.637188,
woman,75.283447,60.31746,71.768707,
honest,87.301587,60.31746,70.748299,
music,92.176871,60.31746,72.44898,
salute,67.120181,60.204082,61.904762,
trust,75.736961,60.090703,74.943311,
red,72.675737,59.977324,65.53288,
chocolate,78.004535,59.977324,58.730159,
hide,48.979592,59.863946,38.548753,
employment,73.356009,59.863946,64.965986,
astronaut,75.510204,59.863946,58.956916,
kids,78.344671,59.750567,57.482993,
greet,79.365079,59.750567,67.460317,
grin,83.900227,59.750567,68.027211,
foam,68.820862,59.637188,59.410431,
city,68.367347,59.410431,65.079365,
pizza,75.396825,59.410431,64.512472,
man,76.303855,59.410431,62.698413,
devoted,84.013605,59.297052,70.068027,
taste,75.510204,59.183673,62.358277,
beverage,77.437642,59.070295,63.8322,
spouse,85.941043,59.070295,62.698413,
masterful,80.385488,58.956916,81.405896,
enjoyment,88.435374,58.956916,73.24263,
respect,86.621315,58.843537,78.117914,
news,60.090703,58.61678,52.154195,
patriot,76.077098,58.61678,66.893424,
highway,67.120181,58.503401,64.172336,
charm,76.75737,58.503401,63.151927,
wish,80.385488,58.503401,59.863946,
loyal,85.600907,58.503401,78.344671,
free,93.650794,58.390023,71.995465,
space,76.870748,58.276644,58.956916,
decorate,78.571429,58.276644,68.594104,
fantasy,84.013605,58.276644,72.902494,
caress,88.888889,58.276644,66.099773,
health,77.210884,58.163265,66.099773,
hard,59.183673,58.049887,63.378685,
boxer,62.471655,58.049887,57.823129,
invest,67.23356,58.049887,66.666667,
present,78.798186,58.049887,66.099773,
scholar,82.312925,58.049887,74.716553,
adorable,88.548753,58.049887,65.079365,
paradise,98.866213,58.049887,68.367347,
toy,79.365079,57.936508,69.047619,
friendly,95.578231,57.936508,67.120181,
bake,69.954649,57.823129,62.244898,
event,70.408163,57.823129,62.585034,
pet,76.984127,57.823129,66.326531,
palace,81.519274,57.823129,64.512472,
kitten,77.777778,57.596372,77.777778,
capable,81.179138,57.596372,73.356009,
blond,72.902494,57.482993,65.079365,
sunrise,89.115646,57.369615,59.977324,
perfume,76.643991,57.256236,67.23356,
infant,78.798186,57.256236,64.285714,
face,72.44898,57.142857,64.285714,
diver,73.129252,57.142857,57.142857,
sun,85.600907,57.142857,69.84127,
army,53.514739,57.029478,57.029478,
blossom,82.312925,57.029478,62.698413,
gymnast,71.995465,56.9161,60.204082,
agreement,80.272109,56.9161,70.521542,
wonder,68.367347,56.689342,60.31746,
bar,72.789116,56.689342,62.018141,
mind,75.736961,56.689342,72.222222,
mobility,77.437642,56.689342,72.902494,
inspire,79.024943,56.689342,71.882086,
sapphire,79.365079,56.689342,62.92517,
truth,88.435374,56.689342,73.356009,
social,78.004535,56.462585,67.006803,
melody,80.15873,56.462585,61.904762,
trumpet,65.192744,56.349206,51.814059,
water,74.943311,56.349206,57.596372,
idol,69.387755,56.122449,60.884354,
save,73.129252,56.122449,68.027211,
identity,74.489796,56.122449,72.562358,
ocean,80.725624,56.122449,62.698413,
reward,85.37415,56.122449,68.027211,
beauty,88.662132,56.122449,62.698413,
pasta,75.85034,56.00907,65.759637,
satisfied,90.022676,56.00907,69.614512,
lavish,70.408163,55.895692,63.945578,
wife,71.768707,55.895692,63.151927,
movie,77.777778,55.895692,56.689342,
alley,50.793651,55.668934,45.351474,
smooth,74.603175,55.668934,57.709751,
letter,74.943311,55.555556,64.965986,
opinion,71.201814,55.442177,62.698413,
tank,58.503401,55.328798,54.195011,
legend,72.44898,55.328798,62.811791,
sailboat,82.199546,55.328798,66.439909,
activate,61.904762,55.102041,61.564626,
art,75.736961,55.102041,60.090703,
agility,73.24263,54.988662,66.553288,
truck,62.018141,54.875283,60.430839,
mystic,68.027211,54.875283,62.585034,
nurse,68.93424,54.875283,54.875283,
thought,72.44898,54.761905,68.253968,
angel,85.37415,54.761905,56.349206,
swimmer,74.14966,54.648526,67.573696,
hotel,68.027211,54.421769,58.049887,
family,86.734694,54.421769,68.027211,
fragrance,68.820862,54.30839,58.276644,
bottle,69.727891,54.30839,54.195011,
wine,67.460317,54.195011,60.204082,
clothing,74.14966,54.195011,60.430839,
radio,76.303855,54.195011,59.863946,
daylight,77.097506,54.081633,62.131519,
heal,80.385488,54.081633,65.646259,
runner,64.285714,53.968254,62.018141,
queen,73.015873,53.968254,62.244898,
adult,73.582766,53.968254,65.192744,
muffin,74.489796,53.968254,62.471655,
advantage,78.798186,53.968254,72.108844,
computer,70.748299,53.854875,59.977324,
intellect,77.324263,53.854875,71.428571,
luxury,89.342404,53.854875,72.562358,
option,73.582766,53.741497,71.882086,
color,79.591837,53.628118,69.954649,
mushroom,65.53288,53.514739,62.585034,
tune,78.571429,53.401361,65.079365,
brother,80.612245,53.401361,58.049887,
twilight,81.972789,53.287982,63.378685,
repentant,62.698413,53.174603,61.451247,
whistle,65.873016,53.174603,59.750567,
glamour,76.643991,53.061224,65.306122,
custom,66.326531,52.834467,56.689342,
vision,75.056689,52.834467,68.253968,
concentrate,58.956916,52.721088,56.349206,
time,60.204082,52.60771,52.494331,
rainbow,92.290249,52.60771,53.514739,
vehicle,71.088435,52.494331,65.419501,
soft,80.725624,52.494331,68.027211,
theory,60.090703,52.380952,55.328798,
black,61.111111,52.267574,58.276644,
tennis,68.253968,52.267574,63.605442,
flag,68.253968,52.154195,62.358277,
respectful,81.85941,52.154195,64.285714,
coast,67.800454,52.040816,64.285714,
hammer,55.328798,51.927438,53.854875,
boy,71.655329,51.927438,60.544218,
candy,74.14966,51.927438,60.430839,
grateful,83.560091,51.927438,70.068027,
limber,64.399093,51.814059,60.544218,
manner,63.945578,51.70068,57.256236,
house,82.312925,51.70068,68.93424,
hamburger,71.088435,51.587302,60.31746,
frog,64.739229,51.473923,60.544218,
favor,73.24263,51.473923,64.285714,
consoled,65.53288,51.360544,50.340136,
dream,76.303855,51.360544,62.698413,
elegant,84.240363,51.360544,67.460317,
rock,63.038549,51.247166,58.390023,
virtue,70.521542,51.247166,69.501134,
stove,56.462585,51.133787,60.770975,
autumn,71.428571,51.133787,58.390023,
honey,76.303855,51.133787,61.678005,
river,77.664399,51.133787,57.823129,
humane,78.117914,51.020408,64.62585,
garment,68.820862,50.907029,60.090703,
moral,70.294785,50.907029,66.893424,
saint,73.582766,50.907029,60.884354,
quality,70.861678,50.793651,63.945578,
easy,80.498866,50.793651,79.365079,
scissors,57.256236,50.680272,58.503401,
industry,60.090703,50.680272,55.668934,
kind,86.054422,50.566893,67.460317,
refreshment,84.353741,50.453515,56.689342,
cook,69.84127,50.340136,58.276644,
yellow,63.605442,50.226757,62.018141,
lighthouse,66.780045,50,59.52381,
sentiment,67.800454,50,57.709751,
priest,72.789116,50,55.328798,
bliss,78.798186,50,69.387755,
ennui,57.709751,49.886621,52.947846,
medicine,64.285714,49.886621,53.287982,
hand,67.460317,49.886621,60.657596,
soothe,82.76644,49.886621,60.770975,
cellar,48.979592,49.773243,52.834467,
hawk,66.666667,49.773243,62.358277,
dawn,69.84127,49.773243,58.503401,
cuisine,75.283447,49.773243,61.337868,
garden,76.077098,49.773243,68.253968,
ship,62.92517,49.659864,58.049887,
cat,64.852608,49.659864,69.84127,
gender,64.965986,49.659864,63.492063,
nice,74.263039,49.659864,63.265306,
white,73.356009,49.546485,67.800454,
breeze,77.664399,49.546485,62.811791,
nature,86.734694,49.546485,56.122449,
rattle,57.029478,49.433107,47.278912,
passage,59.863946,49.433107,56.9161,
bathtub,75.85034,49.433107,65.306122,
church,71.201814,49.206349,56.689342,
thankful,78.117914,49.206349,60.31746,
tool,58.843537,49.092971,64.285714,
writer,62.585034,49.092971,53.628118,
contents,55.442177,48.979592,54.988662,
blue,76.643991,48.866213,63.8322,
shadow,49.319728,48.752834,47.505669,
easygoing,81.632653,48.752834,59.52381,
kindness,88.662132,48.752834,64.285714,
coin,68.253968,48.639456,64.172336,
nourish,73.24263,48.639456,65.759637,
girl,77.891156,48.639456,65.759637,
dark,53.401361,48.526077,54.875283,
aloof,55.555556,48.526077,53.174603,
sheltered,65.192744,48.526077,42.630385,
green,70.068027,48.526077,54.648526,
crown,74.603175,48.526077,68.707483,
glass,53.854875,48.412698,56.689342,
odd,54.648526,48.412698,54.081633,
sky,83.560091,48.412698,58.503401,
useful,80.952381,48.29932,67.23356,
name,62.92517,48.185941,58.503401,
glacier,62.358277,48.072562,55.782313,
doll,69.047619,48.072562,52.267574,
earth,81.06576,48.072562,63.605442,
obey,51.247166,47.959184,48.29932,
context,58.956916,47.845805,58.61678,
patient,59.977324,47.732426,55.555556,
innocent,73.809524,47.732426,59.863946,
home,89.68254,47.732426,66.893424,
pie,72.675737,47.619048,60.657596,
sunset,87.07483,47.619048,64.172336,
person,71.655329,47.505669,60.657596,
fur,51.133787,47.39229,48.979592,
trunk,57.709751,47.39229,58.276644,
icebox,56.122449,47.278912,57.256236,
book,64.852608,47.278912,60.090703,
carefree,85.487528,47.278912,65.53288,
ankle,59.750567,47.165533,54.081633,
elevator,61.678005,47.165533,48.979592,
bath,83.106576,47.165533,72.675737,
snuggle,89.795918,47.165533,64.172336,
fabric,60.090703,46.938776,57.029478,
grass,69.387755,46.938776,61.678005,
muddy,50.340136,46.825397,53.628118,
avenue,62.358277,46.712018,61.22449,
market,64.172336,46.712018,59.750567,
privacy,66.666667,46.712018,64.172336,
air,71.882086,46.712018,57.823129,
dignified,80.498866,46.712018,69.387755,
hat,61.904762,46.485261,61.111111,
detail,62.92517,46.485261,59.070295,
lightbulb,63.605442,46.485261,65.986395,
paint,63.718821,46.485261,65.192744,
watch,65.53288,46.485261,60.884354,
ketchup,63.492063,46.371882,59.977324,
natural,74.716553,46.371882,63.151927,
protected,82.653061,46.371882,65.759637,
office,59.410431,46.258503,63.378685,
village,67.120181,46.258503,56.00907,
field,70.294785,46.258503,66.213152,
knot,52.60771,46.145125,52.947846,
pancakes,68.93424,46.031746,65.306122,
bunny,82.086168,46.031746,56.349206,
journal,58.276644,45.918367,59.637188,
material,59.637188,45.918367,58.049887,
lantern,63.151927,45.918367,57.482993,
teacher,64.399093,45.918367,57.936508,
dress,72.675737,45.918367,56.689342,
bless,81.519274,45.918367,62.585034,
nursery,64.965986,45.804989,58.730159,
month,58.390023,45.69161,54.988662,
radiator,52.947846,45.578231,54.535147,
stiff,53.061224,45.578231,55.895692,
clock,58.276644,45.578231,52.947846,
rabbit,74.489796,45.578231,68.93424,
serious,57.596372,45.351474,58.049887,
lawn,59.410431,45.351474,60.884354,
reverent,60.657596,45.351474,52.947846,
poetry,66.439909,45.351474,60.204082,
fish,68.480726,45.351474,68.253968,
flower,75.283447,45.351474,56.462585,
phase,58.61678,45.124717,52.721088,
engine,58.956916,45.124717,56.689342,
wagon,60.884354,45.124717,57.256236,
owl,65.759637,45.124717,65.986395,
tidy,71.428571,45.124717,62.244898,
window,67.006803,45.011338,55.668934,
fork,59.977324,44.897959,65.079365,
inhabitant,57.256236,44.78458,60.884354,
hay,59.410431,44.78458,60.884354,
vest,59.52381,44.78458,57.709751,
tower,61.904762,44.78458,65.53288,
lake,77.324263,44.78458,55.555556,
blase,55.442177,44.671202,51.814059,
stomach,54.648526,44.557823,53.061224,
history,59.410431,44.557823,54.761905,
poster,60.544218,44.557823,55.668934,
comfort,80.15873,44.557823,64.62585,
building,59.977324,44.444444,59.52381,
corner,49.433107,44.331066,46.712018,
wise,85.260771,44.331066,75.963719,
bandage,51.473923,44.217687,51.247166,
farm,62.698413,44.217687,63.378685,
horse,66.780045,44.104308,52.947846,
nectar,78.231293,44.104308,51.473923,
untroubled,86.394558,44.104308,62.698413,
jug,59.410431,43.99093,57.256236,
sphere,60.430839,43.99093,56.689342,
bathroom,62.92517,43.99093,64.058957,
circle,64.285714,43.764172,57.029478,
safe,80.15873,43.764172,65.873016,
errand,51.927438,43.650794,54.195011,
method,63.038549,43.650794,64.285714,
ink,57.256236,43.537415,52.267574,
banner,61.22449,43.424036,54.421769,
moment,65.306122,43.424036,54.535147,
machine,57.709751,43.310658,59.297052,
part,57.936508,43.310658,53.854875,
elbow,58.049887,43.197279,55.328798,
headlight,59.410431,43.197279,55.328798,
salad,65.079365,43.197279,62.018141,
door,58.163265,43.0839,53.174603,
cork,59.183673,43.0839,56.462585,
lamp,61.337868,43.0839,59.750567,
leisurely,78.004535,43.0839,58.390023,
thermometer,53.628118,42.970522,49.773243,
metal,56.122449,42.970522,60.997732,
dove,78.231293,42.970522,62.131519,
finger,59.977324,42.857143,57.256236,
shy,52.60771,42.743764,39.002268,
iron,55.555556,42.630385,57.823129,
egg,59.977324,42.630385,50.907029,
unit,63.378685,42.517007,57.936508,
windmill,63.492063,42.403628,59.410431,
humble,66.439909,42.403628,53.968254,
politeness,81.405896,42.403628,65.079365,
slush,52.834467,42.290249,55.668934,
golfer,63.605442,42.290249,62.92517,
warmth,84.013605,42.290249,63.605442,
hairdryer,54.875283,42.063492,63.151927,
hydrant,56.9161,42.063492,62.698413,
silk,78.231293,42.063492,54.535147,
jelly,64.172336,41.950113,51.360544,
key,64.399093,41.950113,56.462585,
umbrella,58.503401,41.723356,61.451247,
milk,67.460317,41.723356,66.099773,
curtains,54.761905,41.609977,57.256236,
rain,57.596372,41.38322,54.195011,
corridor,55.328798,41.156463,56.689342,
basket,61.791383,41.156463,65.306122,
pamphlet,54.30839,41.043084,52.494331,
plant,67.800454,41.043084,53.401361,
bed,85.147392,40.929705,78.004535,
museum,62.811791,40.816327,60.31746,
bench,52.267574,40.702948,53.061224,
arm,60.544218,40.702948,57.482993,
quart,61.111111,40.702948,58.956916,
solemn,48.979592,40.362812,52.267574,
bus,51.133787,40.249433,54.875283,
cord,57.823129,40.136054,56.689342,
orchestra,68.253968,39.909297,58.61678,
patent,59.977324,39.68254,55.555556,
violin,61.564626,39.569161,58.730159,
cow,63.151927,39.569161,60.31746,
bowl,60.430839,39.342404,53.174603,
butterfly,81.292517,39.342404,52.721088,
statue,58.61678,39.229025,56.122449,
cabinet,57.256236,38.888889,53.628118,
kerchief,57.936508,38.888889,59.52381,
tree,71.655329,38.77551,57.596372,
taxi,56.689342,38.662132,52.60771,
prairie,65.192744,38.662132,52.380952,
street,59.183673,38.435374,54.535147,
cottage,73.129252,38.435374,61.111111,
locker,58.843537,38.321995,60.770975,
board,54.648526,38.095238,56.462585,
barrel,57.256236,38.095238,55.442177,
lamb,66.780045,38.095238,55.668934,
cozy,83.786848,37.641723,55.442177,
chin,59.977324,37.528345,59.637188,
clouds,70.068027,37.414966,59.183673,
reserved,55.328798,37.07483,48.752834,
mantel,55.895692,37.07483,56.122449,
foot,56.9161,37.07483,56.462585,
hairpin,59.637188,37.07483,57.256236,
item,59.637188,36.734694,59.637188,
kettle,59.183673,36.507937,56.689342,
gentle,82.879819,36.394558,57.823129,
indifferent,52.267574,36.054422,54.875283,
square,53.741497,36.054422,51.133787,
butter,60.430839,35.941043,52.947846,
bird,82.426304,35.941043,50.113379,
chair,57.596372,35.714286,51.70068,
pencil,59.183673,35.600907,54.195011,
secure,85.827664,35.600907,67.23356,
pillow,89.795918,33.673469,51.70068,
seat,56.122449,33.446712,54.875283,
peace,87.528345,33.446712,61.791383,
nun,55.895692,33.219955,55.895692,
table,59.183673,33.106576,50.680272,
quiet,63.265306,31.972789,50.113379,
sleep,81.632653,31.746032,61.337868,
paper,58.956916,28.344671,50.680272,
relaxed,79.365079,27.097506,62.92517,